hidden_size,pooling,optimizer,epochs,final_train_loss,final_test_loss
32,max,SGD,5,0.1435986652970314,0.11675580963492393
32,max,SGD,50,0.03797020787994067,0.03386984020471573
32,max,SGD,100,0.025513455085456372,0.0245537084992975
32,max,SGD,250,0.02445346713066101,0.024320709984749556
32,max,SGD,350,0.02316514601310094,0.02231436874717474
32,max,RMSprop,5,0.02399271974960963,0.027039470616728067
32,max,RMSprop,50,0.020089457867046197,0.022174323443323374
32,max,RMSprop,100,0.019502427739401657,0.01712301094084978
32,max,RMSprop,250,0.019929020976026852,0.01848467392846942
32,max,RMSprop,350,0.016662899032235147,0.016671993536874652
32,max,Adam,5,0.025324774781862895,0.02413607994094491
32,max,Adam,50,0.01982821002602577,0.017688353080302477
32,max,Adam,100,0.01768095511943102,0.016904568299651146
32,max,Adam,250,0.017554136738181115,0.020501213148236275
32,max,Adam,350,0.01617803027232488,0.017285129288211465
32,avg,SGD,5,0.14507814049720763,0.12000376172363758
32,avg,SGD,50,0.04066083095967769,0.0344225293956697
32,avg,SGD,100,0.027277601013580958,0.025511198211461306
32,avg,SGD,250,0.024396768088142076,0.026390003506094217
32,avg,SGD,350,0.02357087843120098,0.0238051344640553
32,avg,RMSprop,5,0.026788683732350667,0.03421602584421635
32,avg,RMSprop,50,0.019024318208297093,0.017585869412869215
32,avg,RMSprop,100,0.01806803693373998,0.018675170140340924
32,avg,RMSprop,250,0.018590545405944188,0.01710441242903471
32,avg,RMSprop,350,0.020808215625584124,0.019147970248013735
32,avg,Adam,5,0.025040312359730404,0.024328630650416017
32,avg,Adam,50,0.018955244620641073,0.017831802600994706
32,avg,Adam,100,0.018246448412537575,0.017063864273950458
32,avg,Adam,250,0.017359246872365473,0.015809922362677753
32,avg,Adam,350,0.016988124946753183,0.01765101682394743
64,max,SGD,5,0.09884976595640182,0.08445014245808125
64,max,SGD,50,0.030966354409853618,0.02917099418118596
64,max,SGD,100,0.024884471856057643,0.02428138698451221
64,max,SGD,250,0.0239415830001235,0.024881060933694243
64,max,SGD,350,0.023729286218682925,0.023007669486105442
64,max,RMSprop,5,0.02469436898827553,0.02497257338836789
64,max,RMSprop,50,0.020449189903835454,0.01714261923916638
64,max,RMSprop,100,0.018830777145922184,0.017490549013018608
64,max,RMSprop,250,0.020533233943084876,0.024057318922132254
64,max,RMSprop,350,0.01826013152798017,0.01930649532005191
64,max,Adam,5,0.024327717100580532,0.025006855372339487
64,max,Adam,50,0.02102932408452034,0.01760531938634813
64,max,Adam,100,0.02057033559928338,0.02061213064007461
64,max,Adam,250,0.01788566689938307,0.01768351742066443
64,max,Adam,350,0.016877173725515605,0.016692209988832474
64,avg,SGD,5,0.10837392409642538,0.09124125726521015
64,avg,SGD,50,0.03430997940401236,0.032967249397188425
64,avg,SGD,100,0.025618455683191616,0.024597849929705262
64,avg,SGD,250,0.023763295138875644,0.024025969207286835
64,avg,SGD,350,0.023450480649868648,0.022879482246935368
64,avg,RMSprop,5,0.025556659822662673,0.02523724175989628
64,avg,RMSprop,50,0.02154033581415812,0.02125570923089981
64,avg,RMSprop,100,0.021848667847613492,0.02240850613452494
64,avg,RMSprop,250,0.021242616946498552,0.019814817467704415
64,avg,RMSprop,350,0.018692352063953876,0.018462321488186717
64,avg,Adam,5,0.024605420852700868,0.02395651419647038
64,avg,Adam,50,0.021057725387314954,0.019973579794168472
64,avg,Adam,100,0.017363053063551584,0.016101372428238392
64,avg,Adam,250,0.019638477452099325,0.018109368858858943
64,avg,Adam,350,0.019316169247031213,0.017799653112888336
128,max,SGD,5,0.066714346408844,0.054758694022893906
128,max,SGD,50,0.030970637003580728,0.027747339103370905
128,max,SGD,100,0.024833053847153983,0.025214808527380228
128,max,SGD,250,0.02371399737894535,0.024666784331202507
128,max,SGD,350,0.02351695206016302,0.022611972643062472
128,max,RMSprop,5,0.025545880446831384,0.02514659333974123
128,max,RMSprop,50,0.026607774198055267,0.029653413221240044
128,max,RMSprop,100,0.024265675867597262,0.022386395605280995
128,max,RMSprop,250,0.0261819951236248,0.027089982759207487
128,max,RMSprop,350,0.029200440645217894,0.021574503742158413
128,max,Adam,5,0.024655007074276605,0.023652037139981985
128,max,Adam,50,0.020063879465063415,0.019615032244473696
128,max,Adam,100,0.02392378685375055,0.023281609173864126
128,max,Adam,250,0.01830793997893731,0.017152428394183517
128,max,Adam,350,0.02286081643154224,0.021518754307180643
128,avg,SGD,5,0.11098383019367854,0.08595054410398006
128,avg,SGD,50,0.027056768536567688,0.025321932742372155
128,avg,SGD,100,0.025440495957930884,0.02498839912004769
128,avg,SGD,250,0.023930177216728528,0.023997885640710592
128,avg,SGD,350,0.023415137579043708,0.0225957571528852
128,avg,RMSprop,5,0.02670520432293415,0.026137415785342455
128,avg,RMSprop,50,0.024782503582537176,0.02422632509842515
128,avg,RMSprop,100,0.0198006189117829,0.018599065952003002
128,avg,RMSprop,250,0.020650106109678747,0.019147788174450397
128,avg,RMSprop,350,0.02525504579146703,0.03016243828460574
128,avg,Adam,5,0.02585942782461643,0.025345379021018744
128,avg,Adam,50,0.02096064171443383,0.017556783510372043
128,avg,Adam,100,0.01983283379425605,0.018573606852442026
128,avg,Adam,250,0.018321762916942437,0.018216123105958104
128,avg,Adam,350,0.01761679785947005,0.017065509455278516
